State,District,Latitude,Longitude,District code,Population,Male,Female,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Ownership_Owned_Households,Ownership_Rented_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,sex_ratio,literacy_rate,Male_literacy_rate,Female_literacy_rate
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,423587,52419,3492202,390974,34667,20469,668050,24528,12181,917626,57964,325084,666693,812381,790443,542228,493236,73475,2460820,1361821,818467,770480,187414,723785,111423,22289,26991,3915,787,95.0,79.0,82.0,76.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,632395,29158,2501741,471951,3902,13540,354189,5049,1273,488748,7548,416869,691348,368723,416761,255650,156225,21729,2008314,809135,535827,579750,61234,470048,102146,23953,29970,4819,1198,94.0,65.0,73.0,57.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,438176,14599,1521618,96182,8467,685,4969,6191,2907,186202,2579,166664,218718,121404,160961,113019,58461,9248,1011352,390419,241534,292483,21845,229070,50661,8718,10189,1195,276,98.0,55.0,61.0,48.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,730228,56132,5237009,693052,23946,8912,94783,38212,1795,904710,45039,544346,1038955,851714,830070,485052,373100,97219,3580633,1567252,948469,934281,196514,792059,193089,49411,61091,9421,2259,93.0,71.0,76.0,66.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,299525,19831,1437623,178925,942,340,28216,4530,195,240042,3209,183972,300965,201646,260772,139479,96847,9913,917343,393539,343021,316237,22964,239940,56487,12180,14708,2101,427,92.0,69.0,75.0,62.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,317806,13210,1328385,306364,2081,1371,187899,6238,262,272486,3982,229217,396713,204316,229103,116041,81333,9703,1078349,436486,313455,325984,25840,250755,62672,14807,17950,2608,535,95.0,63.0,71.0,55.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,414461,105711,8090254,673704,134192,27090,340404,127786,9873,1925019,235018,559840,1234549,1383055,1414563,867256,1086650,190336,5184734,2624165,1586132,1382496,612584,1426982,280248,62953,74115,9251,1911,91.0,76.0,80.0,72.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,153117,17230,1307211,187197,1990,230,113467,3347,95,367352,7752,163025,378554,269872,247257,111600,65700,15429,777431,438905,396967,346267,37274,246068,43462,7172,8615,1183,260,112.0,74.0,81.0,68.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,290693,40824,2440312,239607,9098,1260,38210,87453,769,485126,13212,208511,507318,459156,453404,244804,214003,36983,1450907,752303,603739,498771,67342,371741,106679,27036,32051,4106,909,97.0,73.0,78.0,67.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,297241,39772,2691952,146970,4408,1182,141315,12810,676,562653,14093,288427,495822,407977,556706,299993,243457,20884,1517324,800492,671702,550485,67211,401102,111364,27333,32495,4263,899,99.0,74.0,79.0,69.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,81816,9679,780384,26264,15471,219,24762,1046,53,194228,3517,86480,165284,134734,175070,89023,48418,3451,382024,242296,222963,181960,17110,133398,22973,3810,4590,614,166,104.0,78.0,83.0,74.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,558334,71106,3795424,441254,9882,1279,35497,28134,568,595560,15145,390337,788150,535848,643327,328020,236302,29051,2402794,1089900,809935,723697,97376,564956,145894,41088,50093,7339,1666,94.0,67.0,74.0,60.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,418004,124461,8716055,1355630,280700,39149,449617,172052,9862,2231800,256170,712171,1530916,1588196,1751284,1080597,961719,114453,6184519,3241888,1579921,1758319,632143,1769316,250784,44923,52217,6102,1192,89.0,74.0,78.0,70.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,282170,13785,1057096,53854,2696,2147,175417,5663,2254,266155,4313,140470,186781,201471,225208,158055,93772,7017,659540,370227,270107,263170,28598,219560,35427,4227,4772,454,91,95.0,78.0,83.0,74.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,310195,7122,859949,142672,1707,518,179330,8476,381,196022,1875,166509,238985,160331,162762,116032,47865,7294,682919,302425,210185,240347,10854,190683,33948,6237,7325,909,179,93.0,73.0,79.0,66.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,739718,17899,2251401,239236,4567,1596,249874,11422,3745,446516,6094,391944,562739,382001,389924,245819,123074,21889,1549263,733258,483813,575266,39344,481605,65953,8902,10268,1141,225,95.0,73.0,79.0,67.0
